"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SQL", "Markdown", "JavaScript", "Log", "HTML", "XML", "vue", "CSS", "comment", "blank", "total"
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/repository/CouponRepositoryDatabase.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/repository/OrderRepositoryDatabase.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/repository/ProductRepositoryDatabase.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/main_api.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/main_cli.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/Checkout.test.ts", "TypeScript", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 319
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/SimulateFreight.test.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/ValidateCoupon.test.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/api.test.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 148
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/cli.test.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/integration/getProducts.test.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Coupon.test.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Cpf.test.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Order.test.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/test/unit/Product.test.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/tsconfig.json", "JSON with Comments", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 83, 9, 108
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 2715, 0, 0, 0, 0, 0, 425, 3140
"/Users/downtownit/development/branas.io/ccca10.1/backend/currency/package.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/downtownit/development/branas.io/ccca10.1/backend/currency/src/main_api.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/currency/tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 85, 9, 104
